INBOX ID,NAME,DESCRIPTION,TYPE,ACTIVE,TOTAL,PREVIEW TOTAL,REVIEWED,OLDEST MAIL,LATEST MAIL,TEMPLATE,RULES,NO RESPONSE REQUIRED,LOCKED,CREATED,MODIFIED,ARCHIVED
1,Main Inbox,,Main,Y,11,0,0,01/17/2012,01/17/2012,"",,"","",01/12/2011,02/07/2012,""
2,Letters to Email,,Outgoing,Y,5,0,0,05/14/2012,05/14/2012,"",,"","",01/12/2011,05/14/2012,""
3,Letters to Print,,Outgoing,Y,0,0,0,"","","",,"","",01/13/2012,01/13/2012,""
4,Scanned Mail,,Hidden,Y,1,0,0,05/14/2012,05/14/2012,"",,"","",01/13/2012,05/14/2012,""
5,BP Oil Spill,"",Smart,Y,5,0,0,01/13/2012,01/13/2012,"","BP, Oil, Spill, BP, Oil, Spill","","",01/13/2012,01/13/2012,""
6,Archived Mail,,Hidden,Y,0,0,0,"","","",,"","",01/13/2012,01/13/2012,""
7,Defense,"",Smart,Y,20,0,0,01/13/2012,05/15/2012,"","","","",01/13/2012,05/15/2012,""
8,Health,"",Smart,Y,3,0,0,01/13/2012,01/13/2012,"","","","",01/13/2012,01/13/2012,""
9,Pro Life,"",Smart,Y,3,0,0,01/13/2012,01/13/2012,"","Pro Life, Pro Life","","",01/13/2012,01/13/2012,""
10,Carbon Pollution,"",Smart,Y,0,0,0,"","","","carbon, pollution, smog, clean air act, carbon, pollution, smog, clean air act","","",01/13/2012,01/13/2012,""
11,Sent Mail,,Outgoing,Y,32,0,0,05/14/2012,05/14/2012,"",,"","",02/21/2012,05/14/2012,""
12,Direct Replies,,Normal,Y,1,0,0,05/14/2012,05/14/2012,"",,"","",05/14/2012,05/14/2012,""
13,wilderness,"",Normal,"",0,0,0,"","","",,"","",05/15/2012,05/15/2012,""
